ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
14,8,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   14,    7","  256,    1,    1","2,562,590",1.79 ,64.22,46.86,126
15,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","255,850",0.18 ,44.99,81.85,22
16,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","251,255",0.18 ,4.72,85.49,18
17,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","  256,    1,    1","221,588",0.16 ,34.69,85.08,26
18,13,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","  256,    1,    1","223,594",0.16 ,18.7,63.22,128
19,9,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,   32,    1","   32,    8,    1","9,682",0.01 ,20.55,55.76,64
20,9,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    4,   36","  128,    1,    1","1,010,200",0.70 ,87.37,46.48,122
21,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","357,331",0.26 ,18.05,81.86,80
22,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","127,090",0.10 ,45.35,80.18,22
23,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,479",0.09 ,4.84,83.04,18
24,13,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","450,063",0.31 ,18.57,64.47,128
25,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    8,   32,    1","   32,    8,    1","28,508",0.03 ,13.84,61.61,64
26,9,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    4,   36","  128,    1,    1","1,919,819",1.34 ,91.35,44.3,122
27,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","356,364",0.26 ,18.13,82.19,80
28,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","127,229",0.10 ,45.37,79.85,22
29,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,526",0.10 ,4.84,84.79,18
30,13,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","453,111",0.31 ,18.45,64.09,128
31,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    8,   32,    1","   32,    8,    1","27,770",0.03 ,14.21,62.94,64
32,9,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    4,   36","  128,    1,    1","1,917,445",1.34 ,91.5,44.38,122
33,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","356,418",0.26 ,18.15,81.9,80
34,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","127,182",0.10 ,45.41,80.11,22
35,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","129,098",0.09 ,4.59,78.63,18
36,13,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","452,306",0.31 ,18.49,65.42,128
37,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    8,   32,    1","   32,    8,    1","35,787",0.03 ,11.03,49.26,64
38,9,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   25,    4,   36","  128,    1,    1","1,918,662",1.34 ,91.47,44.36,122
39,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  256,    1","  256,    1,    1","361,959",0.26 ,17.84,82.27,80
40,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","127,776",0.10 ,45.1,79.35,22
41,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,634",0.09 ,4.83,87.17,18
42,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","  256,    1,    1","109,534",0.08 ,35.18,85.16,26
43,14,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  256,    1","  256,    1,    1","101,959",0.08 ,21.94,67.09,128
44,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    8,    1","63,854",0.05 ,12.34,66.34,64
45,10,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    8,   36","  128,    1,    1","1,070,011",0.74 ,91.87,44.55,122
46,11,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","179,535",0.13 ,18.36,80.36,80
47,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","62,522",0.05 ,46.25,76.5,22
48,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","57,751",0.05 ,5.14,82.55,18
49,14,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","207,872",0.15 ,21.5,68.42,128
50,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,   64,    1","   32,    8,    1","145,011",0.10 ,10.84,63.57,64
51,10,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    8,   36","  128,    1,    1","2,069,939",1.45 ,94.66,43.67,122
52,11,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","179,413",0.13 ,18.35,80.35,80
53,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","62,568",0.05 ,46.3,75.99,22
54,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","65,003",0.05 ,4.56,81.15,18
55,14,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","212,835",0.15 ,21.01,69.29,128
56,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,   64,    1","   32,    8,    1","150,388",0.10 ,10.47,64.9,64
57,10,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    8,   36","  128,    1,    1","2,077,876",1.46 ,94.39,43.54,122
58,11,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","178,957",0.13 ,18.45,80.91,80
59,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","62,575",0.05 ,46.28,75.84,22
60,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","64,260",0.05 ,4.61,74.39,18
61,14,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","213,985",0.15 ,20.88,69.1,128
62,8,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,   64,    1","   32,    8,    1","141,721",0.10 ,11.09,68.73,64
63,10,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    8,   36","  128,    1,    1","2,080,385",1.44 ,94.33,43.51,122
64,11,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,  512,    1","  256,    1,    1","178,610",0.13 ,18.46,80.71,80
65,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","62,267",0.05 ,46.45,75.95,22
66,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","65,752",0.05 ,4.51,72.6,18
67,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","  256,    1,    1","54,422",0.05 ,35.54,75.82,26
68,10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","   32,    4,    1","76,439",0.06 ,14.29,69.91,62
69,8,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    2,    1","  256,    1,    1","777,924",0.54 ,68.15,44.78,126
70,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","20,094",0.01 ,36.46,36.58,22
71,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,454",0.01 ,7.15,71.19,18
72,10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","   32,    4,    1","68,441",0.05 ,15.94,78.03,62
73,8,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    2,    1","  256,    1,    1","780,157",0.54 ,67.95,44.65,126
74,7,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","14,618",0.02 ,50.15,49.69,22
75,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,974",0.01 ,6.8,68.5,18
76,10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[29081] python3.8,NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","   32,    4,    1","69,141",0.05 ,15.79,69.57,62
