ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
72,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,602",2.38 ,0.31,0.64,16
78,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,604",2.34 ,0.31,0.76,16
88,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,778",2.38 ,0.29,0.91,16
94,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,620",3.37 ,0.3,0.71,16
104,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,617",2.40 ,0.3,0.64,16
110,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","4,154",2.34 ,0.19,0.57,16
120,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,781",2.38 ,0.29,0.64,16
126,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    7,    1,    1","  128,    1,    1","2,773",2.38 ,0.29,0.68,16
131,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,626",3.50 ,0.09,0.82,16
136,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,607",3.37 ,0.09,0.52,16
140,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,681",2.38 ,0.08,1.79,16
146,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,690",2.40 ,0.08,1.13,16
156,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,609",2.38 ,0.09,1.04,16
162,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,608",2.38 ,0.09,1.09,16
172,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,615",2.38 ,0.09,0.81,16
178,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,581",3.34 ,0.09,1.09,16
188,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,605",2.38 ,0.09,0.8,16
194,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,607",2.38 ,0.09,1.88,16
204,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,608",2.38 ,0.09,0.76,16
210,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,607",3.37 ,0.09,0.46,16
220,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,608",2.38 ,0.09,1.71,16
226,11,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    2,    1,    1","  128,    1,    1","2,598",3.40 ,0.09,0.52,16
235,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  128,    1,    1","2,578",2.31 ,0.03,0.5,16
239,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  128,    1,    1","2,567",3.37 ,0.03,1.22,16
254,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  128,    1,    1","2,566",2.34 ,0.03,0.6,16
269,12,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  128,    1,    1","2,551",2.34 ,0.03,0.99,16
5,12,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","  256,    1,    1","115,932",82.05 ,44.93,80.81,26
275,10,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1024,    1,    1","   32,   16,    1","25,337",20.49 ,47.64,26.81,32
276,10,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, OffsetCalculator<(int)1, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,    1,    1","   64,    1,    1","4,606",3.71 ,1.14,3.68,22
4,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,603",88.95 ,4.83,83.04,18
10,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,937",21.40 ,5.75,80.54,18
15,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","26,159",21.13 ,5.7,79.12,18
25,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","130,664",88.64 ,4.53,77.79,18
30,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,943",22.50 ,5.74,80.58,18
35,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,958",24.17 ,5.75,80.45,18
41,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,301",88.19 ,4.85,83.23,18
46,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,814",23.71 ,5.78,80.77,18
51,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,833",21.40 ,5.78,80.47,18
57,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"25088,    1,    1","   64,    1,    1","122,937",90.65 ,4.82,82.92,18
62,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","58,043",43.96 ,5.12,81.84,18
67,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,483",9.98 ,7.14,71.44,18
77,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","64,919",44.11 ,4.57,82.01,18
82,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,047",12.80 ,6.77,68.07,18
87,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,179",10.24 ,6.69,66.67,18
93,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","58,139",43.78 ,5.11,82,18
98,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,694",10.24 ,7,116.64,18
103,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,653",10.24 ,7.02,69.79,18
109,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","57,956",43.83 ,5.12,91.45,18
114,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","10,797",10.16 ,6.93,69.2,18
119,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,040",10.24 ,6.76,67.49,18
125,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti,"12544,    1,    1","   64,    1,    1","57,783",45.72 ,5.14,82.54,18
130,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","31,881",21.40 ,4.66,63.83,18
135,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","9,338",5.99 ,3.98,63.66,18
145,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,481",22.92 ,5.85,80.67,18
150,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,998",6.66 ,5.31,48.05,18
155,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,756",7.63 ,5.51,49.67,18
161,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,837",24.07 ,5.78,80.85,18
166,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,839",7.27 ,5.44,49.01,18
171,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","7,005",7.96 ,5.31,47.82,18
177,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","32,197",21.38 ,4.62,63.22,18
182,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,773",6.08 ,5.49,87.45,18
187,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","6,781",5.83 ,5.49,87.21,18
193,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 6272,    1,    1","   64,    1,    1","25,572",22.50 ,5.83,101.16,18
198,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21818] python3.8,NVIDIA GeForce RTX 2080 Ti," 1568,    1,    1","   64,    1,    1","8,753",6.14 ,4.25,68.72,18
